# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	379685
#@/user_id	hotoo.rmbp
bai 	柏	c=1 d=9.04845e-148 t=379685
bai 	白	c=34 d=0.249075 t=379685
bai 	百	c=11 d=0.000518278 t=379685
bai bai 	拜拜	c=1 d=1.42875e-80 t=379685
bai ban 	白板	c=43 d=2.39899e-30 t=379685
bai bian 	白邊	c=3 d=1 t=82889
bai chi 	白癡	c=3 d=0 t=379685
bai di 	白底	c=3 d=3.09895e-130 t=379685
bai du 	拜讀	c=1 d=1 t=63586
bai du 	百度	c=53 d=0.0134335 t=379685
bai fen bi 	百分比	c=12 d=2.91132e-13 t=379685
bai fen bing 	白粉病	c=1 d=5.16312e-165 t=379685
bai fen hao 	百分號	c=1 d=1.9753e-126 t=379685
bai fen shu 	百分數	c=4 d=4.46118e-93 t=379685
bai fen zhi 	百分之	c=14 d=2.67971e-26 t=379685
bai fen zhi yi 	百分之一	c=1 d=1.4275e-99 t=379685
bai fu 	拜服	c=1 d=1 t=17540
bai gu jing 	白骨精	c=0 d=1.78375e-221 t=379685
bai he 	白盒	c=1 d=0 t=379685
bai he 	百合	c=14 d=1.34174e-111 t=379685
bai he hua 	百合花	c=5 d=3.16822e-235 t=379685
bai hua wen 	白話文	c=1 d=5.82579e-262 t=379685
bai jia 	敗家	c=3 d=9.27662e-235 t=379685
bai jia hei 	白加黑	c=1 d=0 t=379685
bai jia xing 	百家姓	c=1 d=1.16094e-79 t=379685
bai jin 	白金	c=5 d=3.02083e-256 t=379685
bai jin ka 	白金卡	c=4 d=0 t=379685
bai ke 	百嗑	c=1 d=4.78063e-230 t=379685
bai ke 	百科	c=5 d=2.31262e-217 t=379685
bai kuang 	白框	c=1 d=3.56721e-256 t=379685
bai lao hui 	百老匯	c=1 d=0 t=379685
bai li 	白梨	c=1 d=6.12468e-233 t=379685
bai li 	百里	c=1 d=1.56353e-111 t=379685
bai lian 	白聯	c=1 d=0 t=379685
bai lu 	白露	c=1 d=0 t=379685
bai lu 	白鷺	c=0 d=1.35653e-59 t=379685
bai lu 	白鹿	c=3 d=3.69738e-119 t=379685
bai lu jun 	白鷺郡	c=1 d=1 t=80317
bai lu lu 	白鷺路	c=1 d=2.99816e-94 t=379685
bai lu wan 	白鷺灣	c=1 d=1.17985e-269 t=379685
bai luo bo 	白蘿蔔	c=1 d=2.28433e-277 t=379685
bai min diao 	白民調	c=1 d=1 t=11032
bai ming dan 	白名單	c=53 d=3.42997e-30 t=379685
bai nao hui 	百腦匯	c=4 d=1.02347e-67 t=379685
bai nian 	百年	c=5 d=4.06557e-30 t=379685
bai nian gu du 	百年孤獨	c=1 d=8.28436e-257 t=379685
bai nian guo tie 	百年鍋貼	c=5 d=3.49167e-122 t=379685
bai pi shu 	白皮書	c=2 d=1 t=105579
bai ping 	擺平	c=1 d=1 t=93
bai ping 	白屏	c=17 d=6.86216e-12 t=379685
bai se 	白色	c=28 d=8.14343e-26 t=379685
bai sha 	白沙	c=0 d=0.1 t=63415
bai sha bang 	白沙浜	c=1 d=1 t=63416
bai shan 	白山	c=0 d=0.1 t=63941
bai shi ke le 	百事可樂	c=1 d=5.83666e-137 t=379685
bai shi tong 	百事通	c=1 d=1 t=49272
bai tian 	白天	c=5 d=7.51966e-59 t=379685
